# wavelength (microns), transmission, emissivity
0.5500,0.0274,0.0000
0.5510,0.0301,0.0000
0.5520,0.0332,0.0000
0.5530,0.0367,0.0000
0.5540,0.0403,0.0000
0.5550,0.0442,0.0000
0.5560,0.0485,0.0000
0.5570,0.0530,0.0000
0.5580,0.0578,0.0000
0.5590,0.0630,0.0000
0.5600,0.0683,0.0000
0.5610,0.0738,0.0000
0.5620,0.0802,0.0000
0.5630,0.0865,0.0000
0.5640,0.0933,0.0000
0.5650,0.1001,0.0000
0.5660,0.1073,0.0000
0.5670,0.1149,0.0000
0.5680,0.1227,0.0000
0.5690,0.1303,0.0000
0.5700,0.1386,0.0000
0.5710,0.1468,0.0000
0.5720,0.1557,0.0000
0.5730,0.1647,0.0000
0.5740,0.1732,0.0000
0.5750,0.1819,0.0000
0.5760,0.1908,0.0000
0.5770,0.1999,0.0000
0.5780,0.2088,0.0000
0.5790,0.2175,0.0000
0.5800,0.2263,0.0000
0.5810,0.2348,0.0000
0.5820,0.2438,0.0000
0.5830,0.2522,0.0000
0.5840,0.2602,0.0000
0.5850,0.2679,0.0000
0.5860,0.2757,0.0000
0.5870,0.2832,0.0000
0.5880,0.2902,0.0000
0.5890,0.2968,0.0000
0.5900,0.3029,0.0000
0.5910,0.3091,0.0000
0.5920,0.3152,0.0000
0.5930,0.3205,0.0000
0.5940,0.3253,0.0000
0.5950,0.3301,0.0000
0.5960,0.3344,0.0000
0.5970,0.3382,0.0000
0.5980,0.3420,0.0000
0.5990,0.3459,0.0000
0.6000,0.3492,0.0000
0.6010,0.3520,0.0000
0.6020,0.3557,0.0000
0.6030,0.3586,0.0000
0.6040,0.3609,0.0000
0.6050,0.3637,0.0000
0.6060,0.3655,0.0000
0.6070,0.3678,0.0000
0.6080,0.3701,0.0000
0.6090,0.3718,0.0000
0.6100,0.3736,0.0000
0.6110,0.3751,0.0000
0.6120,0.3768,0.0000
0.6130,0.3780,0.0000
0.6140,0.3797,0.0000
0.6150,0.3809,0.0000
0.6160,0.3826,0.0000
0.6170,0.3838,0.0000
0.6180,0.3849,0.0000
0.6190,0.3867,0.0000
0.6200,0.3878,0.0000
0.6210,0.3889,0.0000
0.6220,0.3901,0.0000
0.6230,0.3913,0.0000
0.6240,0.3925,0.0000
0.6250,0.3937,0.0000
0.6260,0.3949,0.0000
0.6270,0.3962,0.0000
0.6280,0.3974,0.0000
0.6290,0.3980,0.0000
0.6300,0.3992,0.0000
0.6310,0.4009,0.0000
0.6320,0.4015,0.0000
0.6330,0.4026,0.0000
0.6340,0.4038,0.0000
0.6350,0.4044,0.0000
0.6360,0.4056,0.0000
0.6370,0.4062,0.0000
0.6380,0.4068,0.0000
0.6390,0.4080,0.0000
0.6400,0.4086,0.0000
0.6410,0.4097,0.0000
0.6420,0.4109,0.0000
0.6430,0.4116,0.0000
0.6440,0.4122,0.0000
0.6450,0.4129,0.0000
0.6460,0.4135,0.0000
0.6470,0.4142,0.0000
0.6480,0.4148,0.0000
0.6490,0.4149,0.0000
0.6500,0.4161,0.0000
0.6510,0.4166,0.0000
0.6520,0.4166,0.0000
0.6530,0.4172,0.0000
0.6540,0.4178,0.0000
0.6550,0.4178,0.0000
0.6560,0.4184,0.0000
0.6570,0.4184,0.0000
0.6580,0.4184,0.0000
0.6590,0.4184,0.0000
0.6600,0.4190,0.0000
0.6610,0.4189,0.0000
0.6620,0.4189,0.0000
0.6630,0.4190,0.0000
0.6640,0.4196,0.0000
0.6650,0.4197,0.0000
0.6660,0.4197,0.0000
0.6670,0.4191,0.0000
0.6680,0.4192,0.0000
0.6690,0.4198,0.0000
0.6700,0.4199,0.0000
0.6710,0.4197,0.0000
0.6720,0.4197,0.0000
0.6730,0.4203,0.0000
0.6740,0.4203,0.0000
0.6750,0.4197,0.0000
0.6760,0.4197,0.0000
0.6770,0.4203,0.0000
0.6780,0.4197,0.0000
0.6790,0.4197,0.0000
0.6800,0.4203,0.0000
0.6810,0.4208,0.0000
0.6820,0.4209,0.0000
0.6830,0.4203,0.0000
0.6840,0.4209,0.0000
0.6850,0.4210,0.0000
0.6860,0.4216,0.0000
0.6870,0.4217,0.0000
0.6880,0.4217,0.0000
0.6890,0.4224,0.0000
0.6900,0.4229,0.0000
0.6910,0.4235,0.0000
0.6920,0.4235,0.0000
0.6930,0.4235,0.0000
0.6940,0.4241,0.0000
0.6950,0.4241,0.0000
0.6960,0.4247,0.0000
0.6970,0.4253,0.0000
0.6980,0.4259,0.0000
0.6990,0.4265,0.0000
0.7000,0.4270,0.0000
0.7010,0.4282,0.0000
0.7020,0.4278,0.0000
0.7030,0.4284,0.0000
0.7040,0.4296,0.0000
0.7050,0.4296,0.0000
0.7060,0.4308,0.0000
0.7070,0.4308,0.0000
0.7080,0.4316,0.0000
0.7090,0.4329,0.0000
0.7100,0.4329,0.0000
0.7110,0.4341,0.0000
0.7120,0.4348,0.0000
0.7130,0.4361,0.0000
0.7140,0.4368,0.0000
0.7150,0.4381,0.0000
0.7160,0.4382,0.0000
0.7170,0.4389,0.0000
0.7180,0.4402,0.0000
0.7190,0.4415,0.0000
0.7200,0.4428,0.0000
0.7210,0.4434,0.0000
0.7220,0.4441,0.0000
0.7230,0.4448,0.0000
0.7240,0.4455,0.0000
0.7250,0.4467,0.0000
0.7260,0.4480,0.0000
0.7270,0.4493,0.0000
0.7280,0.4499,0.0000
0.7290,0.4512,0.0000
0.7300,0.4524,0.0000
0.7310,0.4526,0.0000
0.7320,0.4538,0.0000
0.7330,0.4551,0.0000
0.7340,0.4557,0.0000
0.7350,0.4570,0.0000
0.7360,0.4583,0.0000
0.7370,0.4589,0.0000
0.7380,0.4597,0.0000
0.7390,0.4610,0.0000
0.7400,0.4616,0.0000
0.7410,0.4630,0.0000
0.7420,0.4636,0.0000
0.7430,0.4643,0.0000
0.7440,0.4657,0.0000
0.7450,0.4670,0.0000
0.7460,0.4672,0.0000
0.7470,0.4685,0.0000
0.7480,0.4692,0.0000
0.7490,0.4706,0.0000
0.7500,0.4713,0.0000
0.7510,0.4719,0.0000
0.7520,0.4732,0.0000
0.7530,0.4733,0.0000
0.7540,0.4746,0.0000
0.7550,0.4753,0.0000
0.7560,0.4759,0.0000
0.7570,0.4766,0.0000
0.7580,0.4779,0.0000
0.7590,0.4779,0.0000
0.7600,0.4785,0.0000
0.7610,0.4793,0.0000
0.7620,0.4793,0.0000
0.7630,0.4806,0.0000
0.7640,0.4813,0.0000
0.7650,0.4819,0.0000
0.7660,0.4826,0.0000
0.7670,0.4832,0.0000
0.7680,0.4833,0.0000
0.7690,0.4833,0.0000
0.7700,0.4847,0.0000
0.7710,0.4847,0.0000
0.7720,0.4861,0.0000
0.7730,0.4861,0.0000
0.7740,0.4868,0.0000
0.7750,0.4869,0.0000
0.7760,0.4870,0.0000
0.7770,0.4877,0.0000
0.7780,0.4878,0.0000
0.7790,0.4885,0.0000
0.7800,0.4886,0.0000
0.7810,0.4892,0.0000
0.7820,0.4892,0.0000
0.7830,0.4893,0.0000
0.7840,0.4893,0.0000
0.7850,0.4900,0.0000
0.7860,0.4900,0.0000
0.7870,0.4907,0.0000
0.7880,0.4907,0.0000
0.7890,0.4907,0.0000
0.7900,0.4907,0.0000
0.7910,0.4914,0.0000
0.7920,0.4914,0.0000
0.7930,0.4914,0.0000
0.7940,0.4914,0.0000
0.7950,0.4921,0.0000
0.7960,0.4921,0.0000
0.7970,0.4921,0.0000
0.7980,0.4928,0.0000
0.7990,0.4929,0.0000
0.8000,0.4929,0.0000
0.8010,0.4929,0.0000
0.8020,0.4929,0.0000
0.8030,0.4935,0.0000
0.8040,0.4935,0.0000
0.8050,0.4935,0.0000
0.8060,0.4943,0.0000
0.8070,0.4943,0.0000
0.8080,0.4943,0.0000
0.8090,0.4943,0.0000
0.8100,0.4950,0.0000
0.8110,0.4950,0.0000
0.8120,0.4951,0.0000
0.8130,0.4951,0.0000
0.8140,0.4953,0.0000
0.8150,0.4953,0.0000
0.8160,0.4954,0.0000
0.8170,0.4954,0.0000
0.8180,0.4955,0.0000
0.8190,0.4962,0.0000
0.8200,0.4963,0.0000
0.8210,0.4964,0.0000
0.8220,0.4964,0.0000
0.8230,0.4970,0.0000
0.8240,0.4970,0.0000
0.8250,0.4970,0.0000
0.8260,0.4970,0.0000
0.8270,0.4970,0.0000
0.8280,0.4977,0.0000
0.8290,0.4972,0.0000
0.8300,0.4972,0.0000
0.8310,0.4978,0.0000
0.8320,0.4985,0.0000
0.8330,0.4985,0.0000
0.8340,0.4985,0.0000
0.8350,0.4991,0.0000
0.8360,0.4991,0.0000
0.8370,0.4993,0.0000
0.8380,0.4993,0.0000
0.8390,0.4999,0.0000
0.8400,0.4999,0.0000
0.8410,0.5000,0.0000
0.8420,0.5008,0.0000
0.8430,0.5015,0.0000
0.8440,0.5011,0.0000
0.8450,0.5012,0.0000
0.8460,0.5026,0.0000
0.8470,0.5027,0.0000
0.8480,0.5028,0.0000
0.8490,0.5029,0.0000
0.8500,0.5044,0.0000
0.8510,0.5044,0.0000
0.8520,0.5038,0.0000
0.8530,0.5045,0.0000
0.8540,0.5051,0.0000
0.8550,0.5051,0.0000
0.8560,0.5051,0.0000
0.8570,0.5058,0.0000
0.8580,0.5065,0.0000
0.8590,0.5059,0.0000
0.8600,0.5066,0.0000
0.8610,0.5066,0.0000
0.8620,0.5072,0.0000
0.8630,0.5079,0.0000
0.8640,0.5079,0.0000
0.8650,0.5079,0.0000
0.8660,0.5092,0.0000
0.8670,0.5087,0.0000
0.8680,0.5087,0.0000
0.8690,0.5094,0.0000
0.8700,0.5094,0.0000
0.8710,0.5101,0.0000
0.8720,0.5108,0.0000
0.8730,0.5109,0.0000
0.8740,0.5109,0.0000
0.8750,0.5111,0.0000
0.8760,0.5111,0.0000
0.8770,0.5118,0.0000
0.8780,0.5126,0.0000
0.8790,0.5126,0.0000
0.8800,0.5127,0.0000
0.8810,0.5133,0.0000
0.8820,0.5128,0.0000
0.8830,0.5128,0.0000
0.8840,0.5134,0.0000
0.8850,0.5141,0.0000
0.8860,0.5141,0.0000
0.8870,0.5148,0.0000
0.8880,0.5148,0.0000
0.8890,0.5148,0.0000
0.8900,0.5142,0.0000
0.8910,0.5149,0.0000
0.8920,0.5149,0.0000
0.8930,0.5149,0.0000
0.8940,0.5156,0.0000
0.8950,0.5156,0.0000
0.8960,0.5156,0.0000
0.8970,0.5156,0.0000
0.8980,0.5150,0.0000
0.8990,0.5157,0.0000
0.9000,0.5157,0.0000
0.9010,0.5157,0.0000
0.9020,0.5157,0.0000
0.9030,0.5163,0.0000
0.9040,0.5163,0.0000
0.9050,0.5163,0.0000
0.9060,0.5169,0.0000
0.9070,0.5169,0.0000
0.9080,0.5169,0.0000
0.9090,0.5176,0.0000
0.9100,0.5176,0.0000
0.9110,0.5176,0.0000
0.9120,0.5177,0.0000
0.9130,0.5177,0.0000
0.9140,0.5178,0.0000
0.9150,0.5178,0.0000
0.9160,0.5179,0.0000
0.9170,0.5179,0.0000
0.9180,0.5180,0.0000
0.9190,0.5186,0.0000
0.9200,0.5187,0.0000
0.9210,0.5187,0.0000
0.9220,0.5187,0.0000
0.9230,0.5187,0.0000
0.9240,0.5187,0.0000
0.9250,0.5187,0.0000
0.9260,0.5187,0.0000
0.9270,0.5180,0.0000
0.9280,0.5180,0.0000
0.9290,0.5180,0.0000
0.9300,0.5180,0.0000
0.9310,0.5180,0.0000
0.9320,0.5186,0.0000
0.9330,0.5179,0.0000
0.9340,0.5179,0.0000
0.9350,0.5179,0.0000
0.9360,0.5179,0.0000
0.9370,0.5172,0.0000
0.9380,0.5165,0.0000
0.9390,0.5165,0.0000
0.9400,0.5165,0.0000
0.9410,0.5165,0.0000
0.9420,0.5165,0.0000
0.9430,0.5159,0.0000
0.9440,0.5159,0.0000
0.9450,0.5159,0.0000
0.9460,0.5158,0.0000
0.9470,0.5158,0.0000
0.9480,0.5158,0.0000
0.9490,0.5151,0.0000
0.9500,0.5151,0.0000
0.9510,0.5151,0.0000
0.9520,0.5151,0.0000
0.9530,0.5144,0.0000
0.9540,0.5137,0.0000
0.9550,0.5137,0.0000
0.9560,0.5137,0.0000
0.9570,0.5137,0.0000
0.9580,0.5137,0.0000
0.9590,0.5143,0.0000
0.9600,0.5130,0.0000
0.9610,0.5130,0.0000
0.9620,0.5130,0.0000
0.9630,0.5130,0.0000
0.9640,0.5130,0.0000
0.9650,0.5130,0.0000
0.9660,0.5123,0.0000
0.9670,0.5116,0.0000
0.9680,0.5116,0.0000
0.9690,0.5116,0.0000
0.9700,0.5116,0.0000
0.9710,0.5117,0.0000
0.9720,0.5116,0.0000
0.9730,0.5117,0.0000
0.9740,0.5117,0.0000
0.9750,0.5118,0.0000
0.9760,0.5118,0.0000
0.9770,0.5112,0.0000
0.9780,0.5113,0.0000
0.9790,0.5106,0.0000
0.9800,0.5107,0.0000
0.9810,0.5107,0.0000
0.9820,0.5107,0.0000
0.9830,0.5107,0.0000
0.9840,0.5107,0.0000
0.9850,0.5107,0.0000
0.9860,0.5106,0.0000
0.9870,0.5106,0.0000
0.9880,0.5106,0.0000
0.9890,0.5106,0.0000
0.9900,0.5106,0.0000
0.9910,0.5106,0.0000
0.9920,0.5106,0.0000
0.9930,0.5106,0.0000
0.9940,0.5106,0.0000
0.9950,0.5099,0.0000
0.9960,0.5099,0.0000
0.9970,0.5099,0.0000
0.9980,0.5099,0.0000
0.9990,0.5105,0.0000
1.0000,0.5105,0.0000
1.0010,0.5105,0.0000
1.0020,0.5105,0.0000
1.0030,0.5105,0.0000
1.0040,0.5105,0.0000
1.0050,0.5105,0.0000
1.0060,0.5105,0.0000
1.0070,0.5098,0.0000
1.0080,0.5098,0.0000
1.0090,0.5098,0.0000
1.0100,0.5098,0.0000
1.0110,0.5098,0.0000
1.0120,0.5110,0.0000
1.0130,0.5110,0.0000
1.0140,0.5110,0.0000
1.0150,0.5110,0.0000
1.0160,0.5110,0.0000
1.0170,0.5110,0.0000
1.0180,0.5110,0.0000
1.0190,0.5117,0.0000
1.0200,0.5117,0.0000
1.0210,0.5117,0.0000
1.0220,0.5124,0.0000
1.0230,0.5124,0.0000
1.0240,0.5130,0.0000
1.0250,0.5130,0.0000
1.0260,0.5136,0.0000
1.0270,0.5136,0.0000
1.0280,0.5136,0.0000
1.0290,0.5143,0.0000
1.0300,0.5143,0.0000
1.0310,0.5143,0.0000
1.0320,0.5150,0.0000
1.0330,0.5158,0.0000
1.0340,0.5158,0.0000
1.0350,0.5159,0.0000
1.0360,0.5159,0.0000
1.0370,0.5167,0.0000
1.0380,0.5167,0.0000
1.0390,0.5180,0.0000
1.0400,0.5181,0.0000
1.0410,0.5187,0.0000
1.0420,0.5187,0.0000
1.0430,0.5187,0.0000
1.0440,0.5187,0.0000
1.0450,0.5201,0.0000
1.0460,0.5201,0.0000
1.0470,0.5201,0.0000
1.0480,0.5208,0.0000
1.0490,0.5208,0.0000
1.0500,0.5208,0.0000
1.0510,0.5214,0.0000
1.0520,0.5227,0.0000
1.0530,0.5227,0.0000
1.0540,0.5227,0.0000
1.0550,0.5240,0.0000
1.0560,0.5240,0.0000
1.0570,0.5240,0.0000
1.0580,0.5240,0.0000
1.0590,0.5247,0.0000
1.0600,0.5254,0.0000
1.0610,0.5254,0.0000
1.0620,0.5261,0.0000
1.0630,0.5261,0.0000
1.0640,0.5268,0.0000
1.0650,0.5268,0.0000
1.0660,0.5280,0.0000
1.0670,0.5280,0.0000
1.0680,0.5287,0.0000
1.0690,0.5294,0.0000
1.0700,0.5294,0.0000
1.0710,0.5294,0.0000
1.0720,0.5308,0.0000
1.0730,0.5308,0.0000
1.0740,0.5308,0.0000
1.0750,0.5308,0.0000
1.0760,0.5321,0.0000
1.0770,0.5321,0.0000
1.0780,0.5321,0.0000
1.0790,0.5341,0.0000
1.0800,0.5341,0.0000
1.0810,0.5341,0.0000
1.0820,0.5348,0.0000
1.0830,0.5355,0.0000
1.0840,0.5355,0.0000
1.0850,0.5355,0.0000
1.0860,0.5361,0.0000
1.0870,0.5368,0.0000
1.0880,0.5368,0.0000
1.0890,0.5375,0.0000
1.0900,0.5382,0.0000
1.0910,0.5382,0.0000
1.0920,0.5388,0.0000
1.0930,0.5395,0.0000
1.0940,0.5402,0.0000
1.0950,0.5402,0.0000
1.0960,0.5409,0.0000
1.0970,0.5416,0.0000
1.0980,0.5416,0.0000
1.0990,0.5416,0.0000
1.1000,0.5423,0.0000
1.1010,0.5430,0.0000
1.1020,0.5431,0.0000
1.1030,0.5431,0.0000
1.1040,0.5446,0.0000
1.1050,0.5452,0.0000
1.1060,0.5453,0.0000
1.1070,0.5453,0.0000
1.1080,0.5468,0.0000
1.1090,0.5468,0.0000
1.1100,0.5469,0.0000
1.1110,0.5476,0.0000
1.1120,0.5483,0.0000
1.1130,0.5483,0.0000
1.1140,0.5483,0.0000
1.1150,0.5490,0.0000
1.1160,0.5497,0.0000
1.1170,0.5497,0.0000
1.1180,0.5504,0.0000
1.1190,0.5510,0.0000
1.1200,0.5517,0.0000
1.1210,0.5517,0.0000
1.1220,0.5524,0.0000
1.1230,0.5524,0.0000
1.1240,0.5524,0.0000
1.1250,0.5531,0.0000
1.1260,0.5538,0.0000
1.1270,0.5538,0.0000
1.1280,0.5538,0.0000
1.1290,0.5538,0.0000
1.1300,0.5552,0.0000
1.1310,0.5552,0.0000
1.1320,0.5558,0.0000
1.1330,0.5558,0.0000
1.1340,0.5565,0.0000
1.1350,0.5572,0.0000
1.1360,0.5572,0.0000
1.1370,0.5572,0.0000
1.1380,0.5579,0.0000
1.1390,0.5579,0.0000
1.1400,0.5579,0.0000
1.1410,0.5586,0.0000
1.1420,0.5593,0.0000
1.1430,0.5593,0.0000
1.1440,0.5593,0.0000
1.1450,0.5599,0.0000
1.1460,0.5599,0.0000
1.1470,0.5606,0.0000
1.1480,0.5613,0.0000
1.1490,0.5613,0.0000
1.1500,0.5613,0.0000
1.1510,0.5613,0.0000
1.1520,0.5620,0.0000
1.1530,0.5620,0.0000
1.1540,0.5620,0.0000
1.1550,0.5627,0.0000
1.1560,0.5627,0.0000
1.1570,0.5634,0.0000
1.1580,0.5634,0.0000
1.1590,0.5634,0.0000
1.1600,0.5640,0.0000
1.1610,0.5640,0.0000
1.1620,0.5647,0.0000
1.1630,0.5647,0.0000
1.1640,0.5655,0.0000
1.1650,0.5655,0.0000
1.1660,0.5655,0.0000
1.1670,0.5655,0.0000
1.1680,0.5662,0.0000
1.1690,0.5662,0.0000
1.1700,0.5662,0.0000
1.1710,0.5662,0.0000
1.1720,0.5662,0.0000
1.1730,0.5662,0.0000
1.1740,0.5662,0.0000
1.1750,0.5676,0.0000
1.1760,0.5676,0.0000
1.1770,0.5682,0.0000
1.1780,0.5682,0.0000
1.1790,0.5682,0.0000
1.1800,0.5682,0.0000
1.1810,0.5682,0.0000
1.1820,0.5689,0.0000
1.1830,0.5689,0.0000
1.1840,0.5689,0.0000
1.1850,0.5689,0.0000
1.1860,0.5689,0.0000
1.1870,0.5689,0.0000
1.1880,0.5689,0.0000
1.1890,0.5689,0.0000
1.1900,0.5696,0.0000
1.1910,0.5704,0.0000
1.1920,0.5705,0.0000
1.1930,0.5711,0.0000
1.1940,0.5712,0.0000
1.1950,0.5712,0.0000
1.1960,0.5713,0.0000
1.1970,0.5714,0.0000
1.1980,0.5714,0.0000
1.1990,0.5715,0.0000
1.2000,0.5715,0.0000
1.2010,0.5722,0.0000
1.2020,0.5722,0.0000
1.2030,0.5722,0.0000
1.2040,0.5722,0.0000
1.2050,0.5722,0.0000
1.2060,0.5722,0.0000
1.2070,0.5722,0.0000
1.2080,0.5722,0.0000
1.2090,0.5729,0.0000
1.2100,0.5729,0.0000
1.2110,0.5729,0.0000
1.2120,0.5729,0.0000
1.2130,0.5729,0.0000
1.2140,0.5729,0.0000
1.2150,0.5729,0.0000
1.2160,0.5729,0.0000
1.2170,0.5729,0.0000
1.2180,0.5729,0.0000
1.2190,0.5729,0.0000
1.2200,0.5729,0.0000
1.2210,0.5729,0.0000
1.2220,0.5736,0.0000
1.2230,0.5736,0.0000
1.2240,0.5736,0.0000
1.2250,0.5736,0.0000
1.2260,0.5742,0.0000
1.2270,0.5742,0.0000
1.2280,0.5742,0.0000
1.2290,0.5742,0.0000
1.2300,0.5742,0.0000
1.2310,0.5742,0.0000
1.2320,0.5742,0.0000
1.2330,0.5742,0.0000
1.2340,0.5742,0.0000
1.2350,0.5742,0.0000
1.2360,0.5742,0.0000
1.2370,0.5749,0.0000
1.2380,0.5749,0.0000
1.2390,0.5749,0.0000
1.2400,0.5749,0.0000
1.2410,0.5749,0.0000
1.2420,0.5755,0.0000
1.2430,0.5755,0.0000
1.2440,0.5755,0.0000
1.2450,0.5755,0.0000
1.2460,0.5755,0.0000
1.2470,0.5755,0.0000
1.2480,0.5755,0.0000
1.2490,0.5755,0.0000
1.2500,0.5755,0.0000
1.2510,0.5755,0.0000
1.2520,0.5755,0.0000
1.2530,0.5755,0.0000
1.2540,0.5755,0.0000
1.2550,0.5755,0.0000
1.2560,0.5755,0.0000
1.2570,0.5755,0.0000
1.2580,0.5755,0.0000
1.2590,0.5761,0.0000
1.2600,0.5761,0.0000
1.2610,0.5761,0.0000
1.2620,0.5761,0.0000
1.2630,0.5761,0.0000
1.2640,0.5761,0.0000
1.2650,0.5761,0.0000
1.2660,0.5761,0.0000
1.2670,0.5761,0.0000
1.2680,0.5761,0.0000
1.2690,0.5761,0.0000
1.2700,0.5761,0.0000
1.2710,0.5761,0.0000
1.2720,0.5761,0.0000
1.2730,0.5761,0.0000
1.2740,0.5761,0.0000
1.2750,0.5767,0.0000
1.2760,0.5767,0.0000
1.2770,0.5767,0.0000
1.2780,0.5767,0.0000
1.2790,0.5767,0.0000
1.2800,0.5767,0.0000
1.2810,0.5775,0.0000
1.2820,0.5775,0.0000
1.2830,0.5775,0.0000
1.2840,0.5775,0.0000
1.2850,0.5775,0.0000
1.2860,0.5775,0.0000
1.2870,0.5775,0.0000
1.2880,0.5775,0.0000
1.2890,0.5775,0.0000
1.2900,0.5775,0.0000
1.2910,0.5775,0.0000
1.2920,0.5782,0.0000
1.2930,0.5790,0.0000
1.2940,0.5790,0.0000
1.2950,0.5791,0.0000
1.2960,0.5792,0.0000
1.2970,0.5792,0.0000
1.2980,0.5793,0.0000
